tbl_CalleeAna(tbl_CalleeAna)

Export Time:2018/06/03 09:44:12

ID,Local DN set,Call prefix,Service category,Service attribute,Route selection code,Priority select number,Release mode selection code,Minimum number length,Maximum number length,Auxiliary signaling flag,Call prefix special process flag,Caller number analysis flag,Emergency call observation flag,Ringing delay flag,Query area code,Special called number change,Called number type,Reserved,Charging,Out route,Gain,Toll DN length,Ring delay time,Call code,Charging selection code,Service sequence number,Time delay trigger point,Triggering delay,Destination,Service check index,Description,RM Source,Customize attribute,NP Query Start Length,NP Pre process Length,Antipole,SendCallingName,VIG capability,Free Flag,As Prefix Flag,Unitary For Caller Flag,Outgoing traffic dispersion ID,Codec list,SHLR Prefix Flag,Scp Upt Prefix Flag,Hairpinning Mode,SOFTX Mode CRBT Flag,Reserved bits,NP/SHLR Selection code,Early ACM,Preelection Code Flag,If WAC analysis,PCCW Phone Mail call flag,Special called number change Control flag,Special Callee analysis flag,Software parameter of service control,Long call limit index,PQR length,Caller number change index,Access code category,Query General ChangeDN Table Flag,Query General ChangeDN Table Number Mode,Adopt IN BILL SelectionCode,CDD active flag,PortIn Flag,The flag for receiving outband DTMF signal,Trunk or international operator flag,Whether redirecting number is changed prior,Master/Slave type,Preselect Select Code,Query General ChangeDN Talbe Number Length,Query Number Change Index,Home Location Index,SHLR VPN flag,SHLR VPN access code length,Cops Gate Priority,ColorringHairpinFlag,Is DADA call flag,Is acc call flag,Outband DTMF process method,Reserved bits,Special service code,Reserved For Hot Patch,Prefix NM Select Code,Status
287,65534,b65534c,Basic service,Intra-office,NULL,NULL,First party release/Russia unilateral release,'0,'0,False,False,False,False,False,False,False,MSISDN,255,No indication,False,Local gain,'0,'0,4294967294,NULL(65535),'0,'0,'0,65535,'0,,255,None,'0,'0,'0,False,False,False,False,No Unitary Mode,'0,1111111111111111111101111111111111111101,False,False,No restriction,None Soft switch Color ring,'0,NULL,No,False,False,False,Normal,False,Release Call After Hooking,NULL,NULL,65535,'0000000000000000,False,Called Number after Analysis,True,False,False,False,False,False,Master,65535,NULL,NULL,65535,NOT VPN Call,'0,Normal,IN color ring hairpin not supported,False,False,Null,127,NULL,'0,65534,1
288,65534,1542,Supplementary service,Register number barring by pulse,NULL,NULL,First party release/Russia unilateral release,4,32,False,False,False,False,False,False,False,Unknown number,255,No indication,False,Local gain,'0,'0,288,NULL(65535),'0,'0,'0,65535,'0,,255,None,'0,'0,'0,False,False,False,False,No Unitary Mode,'0,1111111111111111111101111111111111111101,False,False,No restriction,None Soft switch Color ring,'0,NULL,No,False,False,False,Normal,False,Release Call After Hooking,1,NULL,65535,'0000000000000000,False,Called Number after Analysis,True,False,False,False,False,False,Master,65535,NULL,NULL,65535,NOT VPN Call,'0,Normal,IN color ring hairpin not supported,False,False,Null,127,NULL,'0,65534,1
289,65534,1511542,Supplementary service,Cancel number barring by pulse,NULL,NULL,First party release/Russia unilateral release,7,32,False,False,False,False,False,False,False,Unknown number,255,No indication,False,Local gain,'0,'0,289,NULL(65535),'0,'0,'0,65535,'0,,255,None,'0,'0,'0,False,False,False,False,No Unitary Mode,'0,1111111111111111111101111111111111111101,False,False,No restriction,None Soft switch Color ring,'0,NULL,No,False,False,False,Normal,False,Release Call After Hooking,1,NULL,65535,'0000000000000000,False,Called Number after Analysis,True,False,False,False,False,False,Master,65535,NULL,NULL,65535,NOT VPN Call,'0,Normal,IN color ring hairpin not supported,False,False,Null,127,NULL,'0,65534,1
290,65534,1511543,Supplementary service,Cancel all number barring by pulse,NULL,NULL,First party release/Russia unilateral release,7,32,False,False,False,False,False,False,False,Unknown number,255,No indication,False,Local gain,'0,'0,290,NULL(65535),'0,'0,'0,65535,'0,,255,None,'0,'0,'0,False,False,False,False,No Unitary Mode,'0,1111111111111111111101111111111111111101,False,False,No restriction,None Soft switch Color ring,'0,NULL,No,False,False,False,Normal,False,Release Call After Hooking,1,NULL,65535,'0000000000000000,False,Called Number after Analysis,True,False,False,False,False,False,Master,65535,NULL,NULL,65535,NOT VPN Call,'0,Normal,IN color ring hairpin not supported,False,False,Null,127,NULL,'0,65534,1
291,65534,176,Supplementary service,Activate number barring table by pulse,NULL,NULL,First party release/Russia unilateral release,3,32,False,False,False,False,False,False,False,Unknown number,255,No indication,False,Local gain,'0,'0,291,NULL(65535),'0,'0,'0,65535,'0,,255,None,'0,'0,'0,False,False,False,False,No Unitary Mode,'0,1111111111111111111101111111111111111101,False,False,No restriction,None Soft switch Color ring,'0,NULL,No,False,False,False,Normal,False,Release Call After Hooking,1,NULL,65535,'0000000000000000,False,Called Number after Analysis,True,False,False,False,False,False,Master,65535,NULL,NULL,65535,NOT VPN Call,'0,Normal,IN color ring hairpin not supported,False,False,Null,127,NULL,'0,65534,1
292,65534,151176,Supplementary service,Deactivate number barring table by pulse,NULL,NULL,First party release/Russia unilateral release,6,32,False,False,False,False,False,False,False,Unknown number,255,No indication,False,Local gain,'0,'0,292,NULL(65535),'0,'0,'0,65535,'0,,255,None,'0,'0,'0,False,False,False,False,No Unitary Mode,'0,1111111111111111111101111111111111111101,False,False,No restriction,None Soft switch Color ring,'0,NULL,No,False,False,False,Normal,False,Release Call After Hooking,1,NULL,65535,'0000000000000000,False,Called Number after Analysis,True,False,False,False,False,False,Master,65535,NULL,NULL,65535,NOT VPN Call,'0,Normal,IN color ring hairpin not supported,False,False,Null,127,NULL,'0,65534,1
293,65534,177,Supplementary service,Register secretary service by pulse,NULL,NULL,First party release/Russia unilateral release,3,32,False,False,False,False,False,False,False,Unknown number,255,No indication,False,Local gain,'0,'0,293,NULL(65535),'0,'0,'0,65535,'0,,255,None,'0,'0,'0,False,False,False,False,No Unitary Mode,'0,1111111111111111111101111111111111111101,False,False,No restriction,None Soft switch Color ring,'0,NULL,No,False,False,False,Normal,False,Release Call After Hooking,1,NULL,65535,'0000000000000000,False,Called Number after Analysis,True,False,False,False,False,False,Master,65535,NULL,NULL,65535,NOT VPN Call,'0,Normal,IN color ring hairpin not supported,False,False,Null,127,NULL,'0,65534,1
294,65534,151177,Supplementary service,Cancel secretary service by pulse,NULL,NULL,First party release/Russia unilateral release,6,32,False,False,False,False,False,False,False,Unknown number,255,No indication,False,Local gain,'0,'0,294,NULL(65535),'0,'0,'0,65535,'0,,255,None,'0,'0,'0,False,False,False,False,No Unitary Mode,'0,1111111111111111111101111111111111111101,False,False,No restriction,None Soft switch Color ring,'0,NULL,No,False,False,False,Normal,False,Release Call After Hooking,1,NULL,65535,'0000000000000000,False,Called Number after Analysis,True,False,False,False,False,False,Master,65535,NULL,NULL,65535,NOT VPN Call,'0,Normal,IN color ring hairpin not supported,False,False,Null,127,NULL,'0,65534,1
295,65534,178,Supplementary service,Activate secretary station service by puls,NULL,NULL,First party release/Russia unilateral release,3,32,False,False,False,False,False,False,False,Unknown number,255,No indication,False,Local gain,'0,'0,295,NULL(65535),'0,'0,'0,65535,'0,,255,None,'0,'0,'0,False,False,False,False,No Unitary Mode,'0,1111111111111111111101111111111111111101,False,False,No restriction,None Soft switch Color ring,'0,NULL,No,False,False,False,Normal,False,Release Call After Hooking,1,NULL,65535,'0000000000000000,False,Called Number after Analysis,True,False,False,False,False,False,Master,65535,NULL,NULL,65535,NOT VPN Call,'0,Normal,IN color ring hairpin not supported,False,False,Null,127,NULL,'0,65534,1
296,65534,151178,Supplementary service,Cancel secretary station service by pulse,NULL,NULL,First party release/Russia unilateral release,6,32,False,False,False,False,False,False,False,Unknown number,255,No indication,False,Local gain,'0,'0,296,NULL(65535),'0,'0,'0,65535,'0,,255,None,'0,'0,'0,False,False,False,False,No Unitary Mode,'0,1111111111111111111101111111111111111101,False,False,No restriction,None Soft switch Color ring,'0,NULL,No,False,False,False,Normal,False,Release Call After Hooking,1,NULL,65535,'0000000000000000,False,Called Number after Analysis,True,False,False,False,False,False,Master,65535,NULL,NULL,65535,NOT VPN Call,'0,Normal,IN color ring hairpin not supported,False,False,Null,127,NULL,'0,65534,1
297,65534,b86b,Supplementary service,Activate call forwarding busy to voice mailbox by DTMF,NULL,NULL,First party release/Russia unilateral release,4,4,False,False,False,False,False,False,False,MSISDN,255,No indication,False,Local gain,'0,'0,297,NULL(65535),'0,'0,'0,65535,'0,,255,None,'0,'0,'0,False,False,False,False,No Unitary Mode,'0,1111111111111111111101111111111111111101,False,False,No restriction,None Soft switch Color ring,'0,NULL,No,False,False,False,Normal,False,Release Call After Hooking,NULL,NULL,65535,'0000000000000000,False,Called Number after Analysis,True,False,False,False,False,False,Master,65535,NULL,NULL,65535,NOT VPN Call,'0,Normal,IN color ring hairpin not supported,False,False,Null,127,NULL,'0,65534,1
298,65534,b581c,Supplementary service,Personal monitor register,NULL,NULL,First party release/Russia unilateral release,5,5,False,False,False,False,False,False,False,MSISDN,255,No indication,False,Local gain,'0,'0,298,NULL(65535),'0,'0,'0,65535,'0,,255,None,'0,'0,'0,False,False,False,False,No Unitary Mode,'0,1111111111111111111101111111111111111101,False,False,No restriction,None Soft switch Color ring,'0,NULL,No,False,False,False,Normal,False,Release Call After Hooking,NULL,NULL,65535,'0000000000000000,False,Called Number after Analysis,True,False,False,False,False,False,Master,65535,NULL,NULL,65535,NOT VPN Call,'0,Normal,IN color ring hairpin not supported,False,False,Null,127,NULL,'0,65534,1
