tbl_SipIPPairConfig(tbl_SipIPPairConfig)

Export Time:2018/06/03 10:44:58

ID,Trunk No,IFM Module,Local server port,Remote IP1,Remote IP2,Remote IP3,Remote IP4,Remote URI,Master/Slave type,Remote IP1,Remote IP2,Remote IP3,Remote IP4,Second Remote URI,Second Master/Slave type,PBX Domain Name,IsDeleteTechprefix,Techprefix,Protocol Type,Reserved,PBX Equipment ID,Status
43,646,133,5060,10,201,145,24,10.201.145.24:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
44,647,133,5060,10,201,144,25,10.201.144.25:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
45,648,133,5060,10,201,145,25,10.201.145.25:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
46,970,133,5060,10,201,146,84,10.201.146.84:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
47,971,133,5060,10,201,147,84,10.201.147.84:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
48,653,133,5060,10,201,144,29,10.201.144.29:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
49,341,133,5060,10,201,145,27,10.201.145.27:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
50,654,133,5060,10,201,145,29,10.201.145.29:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
51,655,133,5060,10,201,144,30,10.201.144.30:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
52,656,133,5060,10,201,145,30,10.201.145.30:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
53,657,133,5060,10,201,144,31,10.201.144.31:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
54,658,133,5060,10,201,145,31,10.201.145.31:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
55,659,133,5060,10,201,144,32,10.201.144.32:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
56,660,133,5060,10,201,145,32,10.201.145.32:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
57,663,133,5060,10,201,146,5,10.201.146.5:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
58,664,133,5060,10,201,147,5,10.201.147.5:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
59,667,133,5060,10,201,144,36,10.201.144.36:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
60,668,133,5060,10,201,145,36,10.201.145.36:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
61,669,133,5060,10,201,144,37,10.201.144.37:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
62,670,133,5060,10,201,145,37,10.201.145.37:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
63,671,133,5060,10,201,146,3,10.201.146.3:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
64,672,133,5060,10,201,147,3,10.201.147.3:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
65,665,133,5060,10,201,146,6,10.201.146.6:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
66,666,133,5060,10,201,147,6,10.201.147.6:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
67,673,133,5060,10,201,146,4,10.201.146.4:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
68,674,133,5060,10,201,147,4,10.201.147.4:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
69,661,133,5060,10,201,144,33,10.201.144.33:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
70,662,133,5060,10,201,145,33,10.201.145.33:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
71,1702,133,5060,10,201,148,164,10.201.148.164:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
72,1703,133,5060,10,201,149,132,10.201.149.132:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
73,679,133,5060,10,201,146,9,10.201.146.9:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
74,680,133,5060,10,201,147,9,10.201.147.9:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
75,681,133,5060,10,201,146,10,10.201.146.10:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
76,682,133,5060,10,201,147,10,10.201.147.10:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
77,683,133,5060,10,201,146,11,10.201.146.11:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
78,684,133,5060,10,201,147,11,10.201.147.11:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
79,685,133,5060,10,201,146,12,10.201.146.12:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
80,686,133,5060,10,201,147,12,10.201.147.12:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
81,687,133,5060,10,201,146,13,10.201.146.13:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
82,688,133,5060,10,201,147,13,10.201.147.13:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
83,900,133,5060,10,201,146,14,10.201.146.14:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
84,901,133,5060,10,201,147,14,10.201.147.14:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
85,902,133,5060,10,201,146,15,10.201.146.15:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
86,903,133,5060,10,201,147,15,10.201.147.15:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
87,904,133,5060,10,201,146,16,10.201.146.16:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
88,905,133,5060,10,201,147,16,10.201.147.16:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
