tbl_TrunkGroup(tbl_TrunkGroup)

Export Time:2018/06/03 10:39:31

Direct index number,Trunk group number,Equipment ID,Trunk group name,Call source code,Office number,Circuit type,Group direction,Circuit selection mode,Additional group,Reserved circuit number for priority user,Connect satellite circuit,International call,Number incomplete,Name valid,Virtual trunk group,Reserved,National Variant,Call-in authority,Call-out authority,Overlap send called number,DOD2,CLIR flag,Send initial tone,Initial tone type,Send exceptional tone,Exceptional tone type,Charging source code,Outgoing trunk charging source code,Use opposite pulse,Centralized accounting flag,Meter bill flag,Type of usage,Reserved 24,Generate call attempt bill,EC capability,Support EC in hairpin call,EC initiative,EC use mode,Blank,Can request caller number,Connect without valid caller number,Calling number min length,Caller number provision mode,Software parameter of signalling control,Default caller number,Bar forwarded call,Connect by default,Calling number address attribute transmitting mode,Whether request caller number for CCB,Request original called number,Connect without valid caller number,Connect without valid original called number,Call barring group number,Signalling mode,Signalling link,Upper seizure threshold,Lower seizure threshold,Software parameter of service control,OPC,DPC,Network indicator,Network management source code,Idle circuits for weak call restriction,Idle circuits for forced call restriction,Audio codec prefer,Circuit pool number,Partial Cli Index,Reserved circuit number for incoming call,Timer group index,ISUP TX mask,ISUP RX mask,ISUP compatibility transmit mask,ISUP compatibility receive mask,Video codec prefer,Video supported flag,Query CAC flag,Hop Counter,Hop Counter Value,Trunk Group type,Enhanced Voice Attribute,Maximum Simultaneous Call,Maximum Simultaneous Incomming Call,Maximum Simultaneous Outgoing Call,Codec List,Gain value,Interface ID,Type of PCCWID,PRA ID,Master/Slave flag,Preselect policy code,Send SAC,Not Ignore CLI  for incoming Trunk,Not Ignore CLI  for outgoing Trunk,Incoming Route Priority,Handle RO Mode,Send Route Origin,Force Release Call,Reserved 27,Incoming Trunk CM Flag,Outgoing Trunk CM Flag,Block status,Reserved 28,Incoming Trunk Class Mark Code,Outgoing Trunk Class Mark Code,ISUP TX sub mask,ISUP RX sub mask,Tone Group,Record status
282,115,3,BOIGW1-QTEL-IGW1,205,110,ISUP,Bidirectional trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,True,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'002163,'0021B5,International network,65535,'0,'0,None,255,65535,'0,'0,None,None,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
283,118,6,BOIGW2-QTEL-IGW2_1,205,111,ISUP,Bidirectional trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,True,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'002163,'0021B6,International network,65535,'0,'0,None,255,65535,'0,'0,None,None,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
284,119,1,BOIGW2-QTEL-IGW2_2,205,111,ISUP,Bidirectional trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,True,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'002163,'0021B6,International network,65535,'0,'0,None,255,65535,'0,'0,None,None,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
285,576,6,PRI_PARKin,501,576,PRA,Bidirectional trunk,Cyclic,'0,'0,False,False,False,'0,False,255,ITU-T,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,False,False,True,Always ON,'0,True,True,1,Default number,63,24507888,False,True,Not transparently transmit,False,False,True,True,65535,China,98,'0,'0,'00000000000000000000000000000000,'000000,'000000,International network,65535,'0,'0,None,'0,65535,'0,'0,'0,'0,CPBTXMASK0,CPBRXMASK0,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000000000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
286,578,6,PRI_Moosa,501,578,PRA,Bidirectional trunk,Cyclic,'0,'0,False,False,False,'0,False,255,ITU-T,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,False,False,True,Always ON,'0,True,True,1,Default number,63,22080800,False,True,Not transparently transmit,False,False,True,True,65535,China,99,'0,'0,'00000000000000000000000000000000,'000000,'000000,International network,65535,'0,'0,None,'0,65535,'0,'0,'0,'0,CPBTXMASK0,CPBRXMASK0,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000000000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
287,579,6,PRI_MinistryEduc,501,579,PRA,Bidirectional trunk,Cyclic,'0,'0,False,False,False,'0,False,255,ITU-T,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,False,False,True,Always ON,'0,True,True,1,Default number,63,22081000,False,True,Not transparently transmit,False,False,True,True,65535,China,100,'0,'0,'00000000000000000000000000000000,'000000,'000000,International network,65535,'0,'0,None,'0,65535,'0,'0,'0,'0,CPBTXMASK0,CPBRXMASK0,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000000000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
288,687,65535,SIP_Bahwan_C_B,687,687,SIP,Bidirectional trunk,Minimum,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111101111111111111111111,111111111111111111111111,False,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,'0,False,False,False,False,Always ON,'0,True,True,'0,Default number,Service 0,22080700,False,True,'0,False,False,True,True,65535,China,'0,'0,'0,'00000000000000000000000000000000,'000000,'000000,National network,65535,30,30,No Prefer,'0,65535,65535,'0,None,None,CPBTXMASK0,CPBRXMASK0,No prefer,Supported,Not Query,False,'0,'0,'0000000000000000,None,None,None,1111110001111110111100000111111100000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Not Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
289,577,6,PRI_Drake-Scull,501,577,PRA,Bidirectional trunk,Cyclic,'0,'0,False,False,False,'0,False,255,ITU-T,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,False,False,True,Always ON,'0,True,True,1,Default number,63,24687100,False,True,Not transparently transmit,False,False,True,True,65535,China,102,'0,'0,'00000000000000000000000000000000,'000000,'000000,International network,65535,'0,'0,None,'0,65535,'0,'0,'0,'0,CPBTXMASK0,CPBRXMASK0,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000000000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
290,655,65535,SIPTG_SerTrade_B,655,655,SIP,Bidirectional trunk,Minimum,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,False,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,'0,False,False,False,False,Always ON,'0,True,True,'0,Default number,Service 0,22083700,False,True,'0,False,False,True,True,65535,China,'0,'0,'0,'00000000000000000000000000000000,'000000,'000000,National network,65535,30,30,No Prefer,'0,65535,65535,'0,None,None,CPBTXMASK0,CPBRXMASK0,No prefer,Supported,Not Query,False,'0,'0,'0000000000000000,None,None,None,1111110001111110111100000011111100000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
291,872,3,Clean City Trad,501,872,PRA,Bidirectional trunk,Cyclic,'0,'0,False,False,False,'0,False,255,ITU-T,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,15,False,False,False,True,Always ON,'0,True,True,1,Default number,63,22300200,False,True,Not transparently transmit,False,False,True,True,65535,China,205,'0,'0,'00000000000000000000000000000000,'000000,'000000,International network,65535,'0,'0,None,'0,65535,'0,'0,'0,'0,CPBTXMASK0,CPBRXMASK0,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000000000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
292,582,3,PRI_Bin salim,501,582,PRA,Bidirectional trunk,Cyclic,'0,'0,False,False,False,'0,False,255,ITU-T,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,False,False,True,Always ON,'0,True,True,1,Default number,63,22082200,False,True,Not transparently transmit,False,False,True,True,65535,China,105,'0,'0,'00000000000000000000000000000000,'000000,'000000,International network,65535,'0,'0,None,'0,65535,'0,'0,'0,'0,CPBTXMASK0,CPBRXMASK0,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000000000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
293,970,65535,SIP_MOE_Nizwa_B,970,970,SIP,Bidirectional trunk,Minimum,'0,'0,False,False,False,'0,False,'0,ITU-T92+,'000000000000000000000000,'000000000000000000000000,False,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,'0,False,False,False,False,Always ON,'0,True,True,'0,Default number,Service 0,22087000,False,True,'0,False,False,True,True,65535,China,'0,'0,'0,'00000000000000000000000000000000,'000000,'000000,National network,65535,30,30,No Prefer,'0,65535,65535,'0,None,None,CPBTXMASK0,CPBRXMASK0,No prefer,Supported,Not Query,False,'0,'0,'0000000000000000,None,None,None,1111110001111110111100000111111100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Not Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
294,971,65535,SIP_MOE_Nizwa_S,970,970,SIP,Bidirectional trunk,Minimum,'0,'0,False,False,False,'0,False,'0,ITU-T92+,'000000000000000000000000,'000000000000000000000000,False,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,'0,False,False,False,False,Always ON,'0,True,True,'0,Default number,Service 0,22087000,False,True,'0,False,False,True,True,65535,China,'0,'0,'0,'00000000000000000000000000000000,'000000,'000000,National network,65535,30,30,No Prefer,'0,65535,65535,'0,None,None,CPBTXMASK0,CPBRXMASK0,No prefer,Supported,Not Query,False,'0,'0,'0000000000000000,None,None,None,1111110001111110111100000111111100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Not Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
295,584,3,PRI_SaudBahwan,501,584,PRA,Bidirectional trunk,Cyclic,'0,'0,False,False,False,'0,False,255,ITU-T,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,False,False,True,Always ON,'0,True,True,1,Default number,63,22056500,False,True,Not transparently transmit,False,False,True,True,65535,China,106,'0,'0,'00000000000000000000000000000000,'000000,'000000,International network,65535,'0,'0,None,'0,65535,'0,'0,'0,'0,CPBTXMASK0,CPBRXMASK0,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000000000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
296,750,65535,SIPTG_Toque Trde Cntrl Sys_B,750,750,SIP,Bidirectional trunk,Minimum,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111101111111111111111111,111111111111111111111111,False,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,'0,False,False,False,False,Always ON,'0,True,True,'0,Default number,Service 0,22082250,False,True,'0,False,False,True,True,65535,China,'0,'0,'0,'00000000000000000000000000000000,'000000,'000000,National network,65535,10,10,No Prefer,'0,65535,65535,'0,None,None,CPBTXMASK0,CPBRXMASK0,No prefer,Supported,Not Query,False,'0,'0,'0000000000000000,None,None,None,1111110001111110111100000111111100000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Not Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
297,652,65535,SIPTG_Nasma_S,651,651,SIP,Bidirectional trunk,Minimum,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,False,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,'0,False,False,False,False,Always ON,'0,True,True,'0,Default number,Service 0,22084800,False,True,'0,False,False,True,True,65535,China,'0,'0,'0,'00000000000000000000000000000000,'000000,'000000,National network,65535,30,30,No Prefer,'0,65535,65535,'0,None,None,CPBTXMASK0,CPBRXMASK0,No prefer,Supported,Not Query,False,'0,'0,'0000000000000000,None,None,None,1111110001111110111100000111111100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
298,341,65535,SIPTG_TISvoip_S,219,340,SIP,Bidirectional trunk,Minimum,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,False,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,'0,False,False,False,False,Always ON,'0,True,True,'0,Default number,Service 0,'00,False,True,'0,False,False,True,True,65535,China,'0,'0,'0,'00000000000000000100000000000000,'000000,'000000,International network,65535,150,150,G.729,'0,65535,65535,'0,None,None,CPBTXMASK0,CPBRXMASK0,No prefer,Supported,Not Query,False,'0,'0,'0000000000000000,None,None,None,1111110001111110111100000111111100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
299,587,3,PRI_First_Global,501,587,PRA,Bidirectional trunk,Cyclic,'0,'0,False,False,False,'0,False,255,ITU-T,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,False,False,True,Always ON,'0,True,True,1,Default number,63,22000200,False,True,Not transparently transmit,False,False,True,True,65535,China,108,'0,'0,'00000000000000000000000000000000,'000000,'000000,International network,65535,'0,'0,None,'0,65535,'0,'0,'0,'0,CPBTXMASK0,CPBRXMASK0,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110000011110110000000011000000000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
300,586,3,PRI_Seeb_Hotels,501,586,PRA,Bidirectional trunk,Cyclic,'0,'0,False,False,False,'0,False,255,ITU-T,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,False,False,True,Always ON,'0,True,True,1,Default number,63,22080555,False,True,Not transparently transmit,False,False,True,True,65535,China,109,'0,'0,'00000000000000000000000000000000,'000000,'000000,International network,65535,'0,'0,None,'0,65535,'0,'0,'0,'0,CPBTXMASK0,CPBRXMASK0,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000000000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
301,574,3,PRI_Min_Com,501,574,PRA,Bidirectional trunk,Cyclic,'0,'0,False,False,False,'0,False,255,ITU-T,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,False,False,True,Always ON,'0,True,True,1,Default number,63,22080000,False,True,Not transparently transmit,False,False,True,True,65535,China,110,'0,'0,'00000000000000000000000000000000,'000000,'000000,International network,65535,'0,'0,None,'0,65535,'0,'0,'0,'0,CPBTXMASK0,CPBRXMASK0,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000000000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
302,653,65535,SIPTG_Military_B,653,653,SIP,Bidirectional trunk,Minimum,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,False,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,'0,False,False,False,False,Always ON,'0,True,True,'0,Default number,Service 0,22091000,False,True,'0,False,False,True,True,65535,China,'0,'0,'0,'00000000000000000000000000000000,'000000,'000000,National network,65535,30,30,No Prefer,'0,65535,65535,'0,None,None,CPBTXMASK0,CPBRXMASK0,No prefer,Supported,Not Query,False,'0,'0,'0000000000000000,None,None,None,1111110001111110111100000111111100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
303,654,65535,SIPTG_Military_S,653,653,SIP,Bidirectional trunk,Minimum,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,False,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,'0,False,False,False,False,Always ON,'0,True,True,'0,Default number,Service 0,22091000,False,True,'0,False,False,True,True,65535,China,'0,'0,'0,'00000000000000000000000000000000,'000000,'000000,National network,65535,30,30,No Prefer,'0,65535,65535,'0,None,None,CPBTXMASK0,CPBRXMASK0,No prefer,Supported,Not Query,False,'0,'0,'0000000000000000,None,None,None,1111110001111110111100000111111100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
304,656,65535,SIPTG_SerTrade_B,655,655,SIP,Bidirectional trunk,Minimum,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,False,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,'0,False,False,False,False,Always ON,'0,True,True,'0,Default number,Service 0,22083700,False,True,'0,False,False,True,True,65535,China,'0,'0,'0,'00000000000000000000000000000000,'000000,'000000,National network,65535,30,30,No Prefer,'0,65535,65535,'0,None,None,CPBTXMASK0,CPBRXMASK0,No prefer,Supported,Not Query,False,'0,'0,'0000000000000000,None,None,None,1111110001111110111100000011111100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
305,361,'0,SOIGW1-Zain,220,360,ISUP,Bidirectional trunk,Minimum,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,True,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'002163,'00214A,International network,65535,'0,'0,None,255,65535,'0,'0,None,None,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
306,588,6,PRI_State_Audit1,501,588,PRA,Bidirectional trunk,Cyclic,'0,'0,False,False,False,'0,False,255,ITU-T,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,False,False,True,Always ON,'0,True,True,1,Default number,63,22070000,False,True,Not transparently transmit,False,False,True,True,65535,China,111,'0,'0,'00000000000000000000000000000000,'000000,'000000,International network,65535,'0,'0,None,'0,65535,'0,'0,'0,'0,CPBTXMASK0,CPBRXMASK0,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000000000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
307,589,6,PRI_State_Audit2,501,588,PRA,Bidirectional trunk,Cyclic,'0,'0,False,False,False,'0,False,255,ITU-T,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,False,False,True,Always ON,'0,True,True,1,Default number,63,22070000,False,True,Not transparently transmit,False,False,True,True,65535,China,112,'0,'0,'00000000000000000000000000000000,'000000,'000000,International network,65535,'0,'0,None,'0,65535,'0,'0,'0,'0,CPBTXMASK0,CPBRXMASK0,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000000000000,'0,None,PRA,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
