tbl_CallPreProc(tbl_CallPreProc)

Export Time:2018/06/03 11:07:18

ID,Call source code,Call code,Nature of callee address indicator,Centrex GroupNo,Local DN set,Call prefix,Caller category,Time Index,Orginal SubCategory,Call prefix processing name,Call from,Called number change flag,Method of sending tone,Failure processing flag,Caller number change flag,Call Prefix Processing control flag,Color ring mode,Reserved,New DN set,Called number change index,Caller number change index,Mobile send tone method,Reanalysis,Tone position,Send answer signal,Reserved Field,Reanalysis items,Signal tone type,Processing type,Failure cause code,SCP parameter table index,New Local DN set,New Call Source Code,Master/Slave type,Adjust called num flag,Adjust called num before change flag,Adjust called collected num flag,Reserved Field,SubCategory,Prefix index,Service access code,Reserved For Hot Patch,Status
1641,15,3838,All number,65535,10,'0092,All categories,'0,65534,Noname,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,16,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1434,231,2061,All number,65535,14,'00962796638484,All categories,'0,65534,Noname,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
336,'0,964,All number,65535,'0,'009660,All categories,'0,65534,saudi_invalid,MAP,False,Send tone,True,False,Normal,Not Send,'0,NULL,'0(No Change),'0(No Change),Not sending tone,False,'0,False,'0,'00000000,Wrong number tone,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1437,231,3661,All number,65535,14,'00966570001008,All categories,'0,65534,Noname,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
15,301,233,All number,65535,'0,'00968,All categories,'0,65534,Oman CC Processing,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,6,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
14,401,233,All number,65535,'0,'00968,All categories,'0,65534,Oman CC Processing,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,6,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
13,501,233,All number,65535,'0,'00968,All categories,'0,65534,Oman CC Processing,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,6,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1435,231,3659,All number,65535,14,'00971506851479,All categories,'0,65534,Noname,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1739,156,4062,All number,65535,19,'00971556799322,All categories,'0,65534,TO LDNSET1,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
889,'0,3892,All number,65535,18,'010,All categories,'0,65534,SIGOS_Omantel,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
891,'0,3893,All number,65535,18,'011,All categories,'0,65534,SIGOS_DU,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
892,'0,3894,All number,65535,18,'012,All categories,'0,65534,SIGOS_Telenor,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
197,'0,1757,All number,65535,'0,'013,All categories,'0,65534,RN Remove,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,95,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
893,'0,3895,All number,65535,18,'013,All categories,'0,65534,SIGOS_Qtel,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
913,'0,3896,All number,65535,18,'014,All categories,'0,65534,SIGOS_Invitel,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
914,'0,3897,All number,65535,18,'015,All categories,'0,65534,SIGOS_Bharti,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
915,'0,3898,All number,65535,18,'016,All categories,'0,65534,SIGOS_Etisalat,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
916,'0,3899,All number,65535,18,'017,All categories,'0,65534,SIGOS_TATA-INDIA,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
918,'0,3900,All number,65535,18,'018,All categories,'0,65534,SIGOS_MIR,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
919,'0,3901,All number,65535,18,'019,All categories,'0,65534,SIGOS_Jordan,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
46,101,558,All number,65535,'0,'02,All categories,'0,65534,CCS-Unregistered-Failure,MAP,False,Not send tone,True,False,Normal,Not Send,'0,NULL,'0(No Change),'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Call blocked,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
47,102,558,All number,65535,'0,'02,All categories,'0,65534,CCS-Barred-Failure,MAP,False,Not send tone,True,False,Normal,Not Send,'0,NULL,'0(No Change),'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Call blocked,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
37,100,558,All number,65535,'0,'02,All categories,'0,65534,CCS prefix processing-02,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'01000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
236,51,558,All number,65535,'0,'02,All categories,'0,65534,Mobile CCS to INT,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
920,'0,3902,All number,65535,18,'020,All categories,'0,65534,SIGOS_PTCL,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1056,'0,3903,All number,65535,18,'021,All categories,'0,65534,SIGOS_Sparkle-TDM,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1057,'0,3904,All number,65535,18,'022,All categories,'0,65534,SIGOS_Zain,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1058,'0,3905,All number,65535,18,'023,All categories,'0,65534,SIGOS_Indosat,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1071,'0,3906,All number,65535,18,'024,All categories,'0,65534,SIGOS_BanglaTel,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1072,'0,3907,All number,65535,18,'025,All categories,'0,65534,SIGOS_Bright,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1073,'0,3908,All number,65535,18,'026,All categories,'0,65534,SIGOS_Protel,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1074,'0,3909,All number,65535,18,'027,All categories,'0,65534,SIGOS_IDT,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1118,'0,3910,All number,65535,18,'028,All categories,'0,65534,SIGOS_TATA-London,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1119,'0,3911,All number,65535,18,'029,All categories,'0,65534,SIGOS_TATA-Torronoto,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,27,'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
237,51,564,All number,65535,'0,'02968,All categories,'0,65534,Mobile CCS-national failure,MAP,False,Not send tone,True,False,Normal,Not Send,'0,NULL,'0(No Change),'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Call blocked,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
45,102,564,All number,65535,'0,'02968,All categories,'0,65534,CCS_National-Failure,MAP,False,Not send tone,True,False,Normal,Not Send,'0,NULL,'0(No Change),'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Call blocked,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
43,100,564,All number,65535,'0,'02968,All categories,'0,65534,CCS_National-Failure,MAP,False,Not send tone,True,False,Normal,Not Send,'0,NULL,'0(No Change),'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Call blocked,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
44,101,564,All number,65535,'0,'02968,All categories,'0,65534,CCS_National-Failure,MAP,False,Not send tone,True,False,Normal,Not Send,'0,NULL,'0(No Change),'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Call blocked,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
23,100,543,All number,65535,'0,'0296822008378,All categories,'0,65534,CCS_Auto dialer,MAP,False,Not send tone,True,False,Normal,Not Send,'0,NULL,'0(No Change),'0(No Change),Not sending tone,False,'0,True,'0,'00000000,Record 0,No process,Call blocked,255,NULL,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
17,130,655,All number,65535,4,'0401,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
18,130,656,All number,65535,4,'0402,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
19,130,657,All number,65535,4,'0403,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
20,130,658,All number,65535,4,'0404,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
21,130,659,All number,65535,4,'0405,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
30,130,660,All number,65535,4,'0406,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
111,130,661,All number,65535,4,'0407,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
112,130,663,All number,65535,4,'0408,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
113,130,664,All number,65535,4,'0409,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
114,130,667,All number,65535,4,'0410,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
115,130,668,All number,65535,4,'0411,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
116,130,669,All number,65535,4,'0412,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
503,130,1499,All number,65535,4,'0413,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
581,130,1505,All number,65535,4,'0414,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
582,130,1506,All number,65535,4,'0415,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
117,130,670,All number,65535,4,'0416,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
118,130,671,All number,65535,4,'0417,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
119,130,672,All number,65535,4,'0418,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
120,130,673,All number,65535,4,'0419,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
583,130,1507,All number,65535,4,'0420,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
121,130,674,All number,65535,4,'0421,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
122,130,675,All number,65535,4,'0422,All categories,'0,65534,Cut_Dialer_Prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,130,'0(No Change),Not sending tone,True,'0,True,'0,10000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
