Route No.,Route Name,Subroute Sel.Mode,Per of Dir Subroutes,Percentage 2,Percentage 3,Percentage 4,1st sub-route,2nd sub-route,3rd sub-route,4th sub-route
776,SIPTG_Arab_Ind_Nimr,Select by percentage,100,0,0,0,716,717,None,None
777,SIPTG_Mscat Eye Lasr Cnter,Select by percentage,100,0,0,0,776,777,None,None
778,SIPTG_OPAL_Cari_Alaw,Select by percentage,100,0,0,0,718,719,None,None
779,SIPTG_Servc & Trd Cmpny,Select by percentage,100,0,0,0,778,779,None,None
780,SIPTG_Teejan_Trad,Select by percentage,100,0,0,0,720,721,None,None
781,SIPTG_Oman Medcl Colge MW,Select by percentage,100,0,0,0,780,781,None,None
782,SIPTG_Khimji_Ramd,Select by percentage,100,0,0,0,722,723,None,None
783,SIPTG_OPAL Nagrjna Cnstrctin,Select by percentage,100,0,0,0,764,765,None,None
784,SIPTG_Ajay_Salalah,Select by percentage,100,0,0,0,782,783,None,None
785,SIPTG_Alizz Islamic Bank,Select by percentage,100,0,0,0,784,785,None,None
786,SIPTG_CCC-RHOP,Select by percentage,100,0,0,0,726,727,None,None
787,SIPTG_Oman Oil Mrkting2,Select by percentage,100,0,0,0,1612,1613,None,None
788,SIPTG_Oman_Nat_Inve,Select by percentage,100,0,0,0,728,729,None,None
789,SIPTG_Safa Poltry Farm,Select by percentage,100,0,0,0,788,789,None,None
790,SIPTG_Lulu_Market,Select by percentage,100,0,0,0,730,731,None,None
791,SIPTG_Saffa PoultryFarm,Select by percentage,100,0,0,0,790,791,None,None
792,SIPTG_DG_Edu_Sur,Select by percentage,100,0,0,0,732,733,None,None
793,SIPTG_Bin Hayl Group,Select by percentage,100,0,0,0,792,793,None,None
794,SIPTG_DG_Edu_Ibra,Select by percentage,100,0,0,0,734,735,None,None
795,SIPTG_OPALDouglas_OHI,Select by percentage,100,0,0,0,794,795,None,None
796,SIPTG_Carm_Majan,Select by percentage,100,0,0,0,736,737,None,None
797,SIPTG_Sharaf DG LLC2,Select by percentage,100,0,0,0,796,797,None,None
798,SIPTG_MOE_Dhofa,Select by percentage,100,0,0,0,738,739,None,None
799,SIPTG_DG Agri & Fishri Batina,Select by percentage,100,0,0,0,798,799,None,None
800,SIPTG_USG_Zawawi,Select by percentage,100,0,0,0,740,741,None,None
803,SIPTG_Oman Post,Select by percentage,100,0,0,0,1620,1621,None,None
804,SIPTG_Arkan Majan intl,Select by percentage,100,0,0,0,1628,1629,None,None
805,SIP_Al Ansari Trading Ent LLC,Select by percentage,100,0,0,0,746,747,None,None
806,SIPTG_Al Khalili United FNP,Select by percentage,100,0,0,0,1618,1619,None,None
807,SIPTG_Arabian Industries Prjct,Select by percentage,100,0,0,0,1634,1635,None,None
808,SIPTG_Alizz Islamic Bank2,Select by percentage,100,0,0,0,1632,1633,None,None
809,SIPTG_SATA company,Select by percentage,100,0,0,0,1630,1631,None,None
810,SIPTG_Oman Post2,Select by percentage,100,0,0,0,1636,1637,None,None
811,SIPTG_Habib Bank Lted,Select by percentage,100,0,0,0,1626,1627,None,None
812,SIPTG_Arabian Industries,Select by percentage,100,0,0,0,1638,1639,None,None
813,SIPTG_Habib Bank Lt,Select by percentage,100,0,0,0,1616,1617,None,None
814,SIPTG_Ministry of agricltre & fish,Select by percentage,100,0,0,0,1644,1645,None,None
815,SIPTG_Ministry of agricltre & fish1,Select by percentage,100,0,0,0,1646,1647,None,None
816,SIPTG_Alizz Islamc Bank,Select by percentage,100,0,0,0,1640,1641,None,None
817,SIPTG_Alizz Islamc Bank2,Select by percentage,100,0,0,0,1642,1643,None,None
820,SIPTG_Habib Bnk Liitd1,Select by percentage,100,0,0,0,1648,1649,None,None
821,SIPTG_Habib Bnk Liitd2,Select by percentage,100,0,0,0,1650,1651,None,None
822,SIPTG_Qarat Al-Milh Petroleum LLC,Select by percentage,100,0,0,0,1568,1569,None,None
823,SIPTG_Arabian Industries Projects LLC,Select by percentage,100,0,0,0,1570,1571,None,None
824,SIPTG_Ernst & Young,Select by percentage,100,0,0,0,1574,1575,None,None
825,SIPTG_Faisal Al Rashdi advocate & legal consul,Select by percentage,100,0,0,0,1652,1653,None,None
826,SIPTG_Oman Trading Est. LLCB,Select by percentage,100,0,0,0,1654,1655,None,None
827,SIPTG_Denton & Co Oman Branch,Select by percentage,100,0,0,0,1656,1657,None,None
828,SIPTG_Arabian Industries Projects LLC1,Select by percentage,100,0,0,0,1664,1665,None,None
829,SIPTG_Telal Al Qurum Real Estate,Select by percentage,100,0,0,0,1662,1663,None,None
830,SIPTG_Bank Muscat DR Site,Sequential selection,50,50,0,0,1033,1678,1679,None
831,SIPTG_ZUBAIR AUTOMOTIVE LLC,Select by percentage,100,0,0,0,1658,1659,None,None
832,SIPTG_ Al Ansari Trading Ent,Select by percentage,100,0,0,0,1660,1661,None,None
833,SIPTG_Fatma Al Mamari Advocacy and Legal Consu,Select by percentage,100,0,0,0,1672,1673,None,None
834,SIPTG_Howden Insurance Brokers LLC,Select by percentage,100,0,0,0,1674,1675,None,None
835,SIPTG_Catering And Supplies Co LLC,Select by percentage,100,0,0,0,1676,1677,None,None
837,SIPTG_Said Al Shahry Law Office,Select by percentage,100,0,0,0,1572,1573,None,None
838,PRI_B_Dhofar_FNP2,Sequential selection,100,0,0,0,838,None,None,None
839,SIPTG_AL-GHADEER MINERAL WATER,Select by percentage,100,0,0,0,1680,1681,None,None
840,SIPTG_Arabian Industries Projects LLC2,Select by percentage,100,0,0,0,1682,1683,None,None
841,SIPTG_Shanfari Group Of Companies,Select by percentage,100,0,0,0,1684,1685,None,None
842,SIPTG_The Oman Munitions Production Company2,Select by percentage,100,0,0,0,1686,1687,None,None
843,SIPTG_Occupational Training Institute,Select by percentage,100,0,0,0,1688,1689,None,None
844,SIPTG_Muscat Electronics LLC,Select by percentage,100,0,0,0,1692,1693,None,None
845,SIPTG_MARS OVERSEAS LLC,Select by percentage,100,0,0,0,1690,1691,None,None
846,SIPTG_Ministry of Oil & Gas,Select by percentage,100,0,0,0,1694,1695,None,None
847,SIPTG_Ministry of Oil & Gas2,Select by percentage,100,0,0,0,1696,1697,None,None
848,SIPTG_Ooredoo business B two B,Select by percentage,100,0,0,0,1698,1699,None,None
849,SIPTG_Anamaa Poultry Co.S.A.O.C,Select by percentage,100,0,0,0,1700,1701,None,None
850,SIPTG_Global Logistics (Oman) LLC,Select by percentage,100,0,0,0,1702,1703,None,None
851,SIPTG_Degremont Middle East LLC,Select by percentage,100,0,0,0,1704,1705,None,None
852,SIPTG_KIMS Oman hsptl1,Select by percentage,100,0,0,0,1710,1711,None,None
853,SIPTG_KIMS Oman hsptl2l,Select by percentage,100,0,0,0,1712,1713,None,None
854,SIPTG_Qatar Embassy,Select by percentage,100,0,0,0,1706,1707,None,None
855,SIPTG_Salem Saif & BROs,Select by percentage,100,0,0,0,1708,1709,None,None
856,SIPTG_Lulu hpr mrkt llc,Select by percentage,100,0,0,0,1714,1715,None,None
857,SIPTG_Petrofac Oman LLC,Select by percentage,100,0,0,0,1716,1717,None,None
858,SIPTG_Petrofac E C LLC,Select by percentage,100,0,0,0,1720,1721,None,None
859,SIPTG_CCC-GAZ,Select by percentage,100,0,0,0,1722,1723,None,None
860,SIPTG_Oman Cables Industry,Select by percentage,100,0,0,0,1724,1725,None,None
861,SIPTG_SalamAir SAOC,Select by percentage,100,0,0,0,1726,1727,None,None
862,SIPTG_Osool Gulf Invstmnt,Select by percentage,100,0,0,0,1728,1729,None,None
863,SIPTG_PricewaterhouseCoopers,Select by percentage,100,0,0,0,1730,1731,None,None
866,SIPTG_Madinat Sandan LLC,Select by percentage,100,0,0,0,1736,1737,None,None
888,Noname_Route,Sequential selection,100,0,0,0,1001,None,None,None
889,Noname_Route,Sequential selection,100,0,0,0,889,None,None,None
898,Noname_Route,Sequential selection,100,0,0,0,898,None,None,None
900,SIP_China_Harber,Select by percentage,100,0,0,0,900,901,None,None
902,SIP_Research_Council,Select by percentage,100,0,0,0,902,903,None,None
904,SIP_OPAL_Oman,Select by percentage,100,0,0,0,904,905,None,None
906,SIPTG_AL-GHADEER,Select by percentage,100,0,0,0,906,907,None,None
910,SIPTG_Cactus Premer,Select by percentage,100,0,0,0,910,911,None,None
912,SIP_G_Chan,Select by percentage,100,0,0,0,912,913,None,None
914,SIP_Holiday_Hotel,Select by percentage,100,0,0,0,914,915,None,None
916,SIPTG_Holiday Hotels,Select by percentage,100,0,0,0,916,917,None,None
918,SIP_Amjad_Trad,Select by percentage,100,0,0,0,918,919,None,None
920,SIPTG_CCCFQI,Select by percentage,100,0,0,0,920,921,None,None
922,SIP_OPAL_IMTAC,Select by percentage,100,0,0,0,922,923,None,None
924,SIP_Phoenix,Select by percentage,100,0,0,0,924,925,None,None
926,SIP_Ameen_Store,Select by percentage,100,0,0,0,926,927,None,None
930,SIPTG_Integrated Oilfield,Select by percentage,100,0,0,0,930,931,None,None
932,SIPTG_Pub_Auth,Select by percentage,100,0,0,0,932,933,None,None
934,SIP_Khimji_Ghala,Select by percentage,100,0,0,0,934,935,None,None
936,SIPTG_Oman Trading LLC-B,Select by percentage,50,50,50,50,936,938,937,939
940,SIP_Aramex,Select by percentage,100,0,0,0,940,941,None,None
944,SIP_Khimji_Barka,Select by percentage,100,0,0,0,944,945,None,None
946,SIP_Emtiaz_Devlop,Select by percentage,100,0,0,0,946,947,None,None
948,SIP_Stat_Gen,Select by percentage,100,0,0,0,948,949,None,None
950,SIP_Oman_Waste,Select by percentage,100,0,0,0,950,951,None,None
952,SIP_MAFG_Cinema,Select by percentage,100,0,0,0,952,953,None,None
954,SIP_OPAL_L&T,Select by percentage,100,0,0,0,954,955,None,None
956,SIP_OETC,Select by percentage,100,0,0,0,956,957,None,None
958,SIP_Uni_Nizwa,Select by percentage,100,0,0,0,958,959,None,None
960,SIP_Min_H&C,Select by percentage,100,0,0,0,960,961,None,None
964,SIP_General_Electric,Select by percentage,100,0,0,0,964,965,None,None
966,SIP_MOE_Rustaq,Select by percentage,100,0,0,0,966,967,None,None
968,SIPTG_Ministry Of Education -Samail,Select by percentage,100,0,0,0,968,969,None,None
970,SIP_MOE_Nizwa,Select by percentage,100,0,0,0,970,971,None,None
972,SIP_MOE_Sohar,Select by percentage,100,0,0,0,972,973,None,None
974,SIP_Oman_Blend,Select by percentage,100,0,0,0,974,975,None,None
976,SIP_Madina_Invest,Select by percentage,100,0,0,0,976,977,None,None
978,SIP_Exceed_IT,Select by percentage,100,0,0,0,978,979,None,None
980,SIPTG_Ferrovial Agroman,Select by percentage,100,0,0,0,980,981,None,None
982,SIPTG_Joannou_1,Select by percentage,100,0,0,0,982,983,None,None
984,SIPTG_Joannou_2,Select by percentage,100,0,0,0,984,985,None,None
986,SIP_Serv_&_Trad,Select by percentage,100,0,0,0,986,987,None,None
988,SIP_Ser_Trad_K,Select by percentage,100,0,0,0,988,989,None,None
990,SIP_MOE_Hyma,Select by percentage,100,0,0,0,990,991,None,None
992,SIP_Ensign_LLC,Select by percentage,100,0,0,0,992,993,None,None
993,NMobile-1PTCL-2TELE-3JT-Iftikhar,Select by percentage,50,50,10,10,280,281,80,81
994,SIPTG_OPAL Truck Oman,Select by percentage,100,0,0,0,994,995,None,None
996,SIP_Oman_Olympic,Select by percentage,100,0,0,0,996,997,None,None
998,SIP_OPAL_Business,Select by percentage,100,0,0,0,998,999,None,None
1000,Samatel_Test,Sequential selection,100,0,0,0,381,None,None,None
1001,Nmobile-1JT-2TATA-3Bharti-4Tele-5ISC-1001,Select by percentage,50,50,100,60,260,261,220,180
1002,Nmobile-1JT-2TATA-3Bharti-4Tele-5ISC-1002,Select by percentage,50,50,100,60,260,261,220,180
1003,Nmobile-1JT-2TATA-3Bharti-4Tele-5ISC-1003,Select by percentage,50,50,100,60,260,261,220,180
1004,Nmobile-1JT-2TATA-3Bharti-4Tele-5ISC-1004,Select by percentage,50,50,100,60,260,261,220,180
1005,NMobile-1TIS-1005,Select by percentage,100,0,0,0,330,None,None,None
1006,NMobile-1MIR-2TIS-1006,Select by percentage,50,50,0,0,240,330,None,None
1007,Nmobile64-1TIS-2Tele-3TATA-1007,Select by percentage,100,50,50,100,330,80,81,220
1008,Nmobile64-1TIS-2JT-1008,Select by percentage,100,50,50,0,330,260,261,None
1009,Nmobile64-1Tele-2TATA-1009,Select by percentage,50,50,100,0,80,81,220,None
1010,Nmobile64-1Tele-2Bharti-3TIS-4JT-1010,Select by percentage,50,50,60,20,80,81,180,181
1011,Nmobile64-1Bhart-2TATA-3TIS-4Tele-1011,Select by percentage,60,20,20,100,180,181,182,220
1012,Nmobile64-1TATA-2Bharti-3TATAIND-1012,Select by percentage,40,40,10,10,220,180,181,182
1013,Nmobile64-1TATA-2Bharti-3TATAIND-1013,Select by percentage,40,40,10,10,220,180,181,182
1014,Nmobile64-1TATA-2Bharti-3TATAIND-1014,Select by percentage,40,40,10,10,220,180,181,182
1015,Nmobile64-1TATA-2Bharti-3TATAIND-1015,Select by percentage,40,40,10,10,220,180,181,182
1016,Nmobile64-1TATA-2Bharti-3TATAIND-1016,Select by percentage,40,40,10,10,220,180,181,182
1017,Nmobile64-1TATA-2Bharti-3TATAIND-1017,Select by percentage,40,40,10,10,220,180,181,182
